App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Paint By Number - Coloring Book & Color by Number,paint.by.number.pixel.art.coloring.drawing.puzzle,Board,4.5,1299872,"100,000,000+",100000000,135843307,TRUE,0,USD,59M,4.4 and up,Better Life - Color and Draw,https://paint.dailyinnovation.biz/,paint_support@dailyinnovation.biz,10-Aug-18,15-Jun-21,Everyone 10+,http://www.dailyinnovation.biz/privacy.html,TRUE,TRUE,FALSE,6/16/2021 7:09
Happy Color™ – Color by Number. Coloring games.,com.pixel.art.coloring.color.number,Board,4.6,2532441,"100,000,000+",100000000,128743102,TRUE,0,USD,44M,4.4 and up,X-Flow,http://x-flow.app,support@x-flow.app,24-Jan-18,2-Jun-21,Everyone,http://www.x-flow.app/privacy-policy.html,TRUE,TRUE,FALSE,6/15/2021 23:32
Checkers,com.dimcoms.checkers,Board,4.2,558632,"100,000,000+",100000000,105463113,TRUE,0,USD,3.5M,4.1 and up,English Checkers,http://checkers-prince.com,help.checkers@mail.ru,18-May-15,13-Mar-21,Everyone,,TRUE,TRUE,FALSE,6/16/2021 10:39
"Google Play Books - Ebooks, Audiobooks, and Comics",com.google.android.apps.books,Books & Reference,4.1,1814775,"1,000,000,000+",1000000000,3202676731,TRUE,0,USD,Varies with device,Varies with device,Google LLC,http://play.google.com/,googleplay-support@google.com,6-Dec-10,11-Jun-21,Teen,https://play.google.com/books/intl/privacy.html,FALSE,FALSE,FALSE,6/16/2021 4:27
Amazon Kindle,com.amazon.kindle,Books & Reference,4.7,1714733,"100,000,000+",100000000,373230108,TRUE,0,USD,Varies with device,5.0 and up,Amazon Mobile LLC,http://www.amazon.com/kindleapps,kindle-cs-support@amazon.com,28-Jun-10,4-Jun-21,Teen,https://www.amazon.com/gp/help/customer/display.html?nodeId=468496,TRUE,FALSE,FALSE,6/15/2021 23:16
Wattpad - Read & Write Stories,wp.wattpad,Books & Reference,4.1,4224876,"100,000,000+",100000000,190657472,TRUE,0,USD,Varies with device,Varies with device,Wattpad.com,https://www.wattpad.com,support@wattpad.com,,9-Jun-21,Teen,http://www.wattpad.com/privacy,TRUE,TRUE,TRUE,6/16/2021 10:13
"Audible: audiobooks, podcasts & audio stories",com.audible.application,Books & Reference,4.5,1180844,"100,000,000+",100000000,180512055,TRUE,0,USD,26M,6.0 and up,"Audible, Inc",https://www.audible.com,customersupport@audible.com,12-Aug-10,7-Jun-21,Teen,https://www.audible.com/privacy-policy,FALSE,FALSE,FALSE,6/16/2021 3:06
"YouVersion Bible App Free, Audio, Offline, Daily",com.sirma.mobile.bible.android,Books & Reference,4.9,3356821,"100,000,000+",100000000,179730560,TRUE,0,USD,26M,5.0 and up,Life.Church,http://www.youversion.com,en.android@youversion.com,,28-May-21,Teen,http://www.youversion.com/privacy,FALSE,FALSE,FALSE,6/15/2021 22:31
Secure Folder,com.samsung.knox.securefolder,Business,4.2,188987,"1,000,000,000+",1000000000,1410817280,TRUE,0,USD,8.6M,7.0 and up,"Samsung Electronics Co.,  Ltd.",,secfolder@samsung.com,9-Jun-17,31-Jan-18,Everyone,https://account.samsung.com/membership/pp,FALSE,FALSE,FALSE,6/16/2021 6:23
"LinkedIn: Jobs, Business News & Social Networking",com.linkedin.android,Business,4.4,2063638,"500,000,000+",500000000,827144233,TRUE,0,USD,120M,5.0 and up,LinkedIn,http://www.linkedin.com/,team-mobile@linkedin.com,7-Apr-11,9-Jun-21,Everyone,https://www.linkedin.com/legal/privacy-policy,TRUE,TRUE,FALSE,6/16/2021 8:38
ZOOM Cloud Meetings,us.zoom.videomeetings,Business,3.9,2532169,"500,000,000+",500000000,674196557,TRUE,0,USD,125M,5.0 and up,zoom.us,http://zoom.us,info@zoom.us,24-Jan-13,8-Jun-21,Everyone,http://zoom.us/privacy/,FALSE,FALSE,FALSE,6/16/2021 7:52
Google Meet - Secure Video Meetings,com.google.android.apps.meetings,Business,3.7,1488120,"100,000,000+",100000000,352581380,TRUE,0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/a/answer/7126817,apps-help@google.com,9-Mar-17,10-Jun-21,Everyone,http://www.google.com/policies/privacy,FALSE,FALSE,FALSE,6/16/2021 1:01
Microsoft Teams,com.microsoft.teams,Business,4.1,3498904,"100,000,000+",100000000,199799210,TRUE,0,USD,Varies with device,5.0 and up,Microsoft Corporation,http://aka.ms/microsoftteams,mstandstore@microsoft.com,2-Nov-16,14-Jun-21,Everyone,https://aka.ms/privacy,FALSE,FALSE,FALSE,6/16/2021 5:16
Solitaire,com.mobilityware.solitaire,Card,4.5,1593208,"100,000,000+",100000000,129283628,TRUE,0,USD,Varies with device,Varies with device,MobilityWare,http://www.mobilityware.com,support@mobilityware.com,1-Sep-11,1-Mar-21,Everyone,http://www.mobilityware.com/privacy-policy.php,TRUE,TRUE,FALSE,6/16/2021 8:45
Callbreak Multiplayer,io.teslatech.callbreak,Card,4.1,289480,"50,000,000+",50000000,86123846,TRUE,0,USD,Varies with device,Varies with device,Teslatech,http://callbreak.com/,support@callbreak.com,2-Nov-14,28-Mar-20,Teen,http://callbreak.com/privacy-policy.html,TRUE,FALSE,FALSE,6/16/2021 9:12
Solitaire,com.kathleenOswald.solitaireGooglePlay,Card,4.2,648012,"50,000,000+",50000000,86103506,TRUE,0,USD,46M,4.4 and up,Zynga,https://www.zynga.com,android.support@zynga.com,26-Dec-13,11-May-21,Everyone,https://www.zynga.com/privacy/policy,TRUE,FALSE,FALSE,6/16/2021 13:01
Zynga Poker ™: Free Texas Holdem Online Card Games,com.zynga.livepoker,Card,4.3,2587465,"50,000,000+",50000000,83255897,TRUE,0,USD,97M,4.4 and up,Zynga,https://www.zynga.com/,android.support@zynga.com,21-Dec-10,24-May-21,Teen,https://www.zynga.com/privacy/policy,TRUE,TRUE,FALSE,6/16/2021 14:12
UNO!™,com.matteljv.uno,Card,4.4,939221,"50,000,000+",50000000,74010135,TRUE,0,USD,207M,4.4 and up,Mattel163 Limited,http://www.letsplayuno.com/,uno@mattel163.com,14-Nov-18,13-May-21,Everyone,https://www.mattel163.com/privacypolicy.html,TRUE,TRUE,TRUE,6/16/2021 10:16
Coin Dozer: Sweepstakes,com.leftover.CoinDozer,Casino,4.4,1486538,"50,000,000+",50000000,95406186,TRUE,0,USD,89M,5.0 and up,Game Circus LLC,http://www.gamecircus.com,support@gamecircus.com,27-Jun-11,8-Jun-21,Teen,http://gamecircus.com/privacy-policy/,TRUE,TRUE,FALSE,6/16/2021 11:53
Teen Patti Gold – Indian Family Card Game,com.teenpatti.hd.gold,Casino,4.5,1535622,"50,000,000+",50000000,80000822,TRUE,0,USD,Varies with device,4.1 and up,Moonfrog,http://moonfroglabs.com,support@teenpattigold.com,8-Oct-14,4-Jun-21,Teen,http://teenpattigold.com/privacynew.html,TRUE,TRUE,FALSE,6/15/2021 20:51
Teen Patti by Octro - Real 3 Patti Game,com.octro.teenpatti,Casino,4.2,1495877,"50,000,000+",50000000,73954893,TRUE,0,USD,75M,6.0 and up,"Octro, Inc.",http://www.octro.com,teenpatti.support@octro.com,24-Jul-13,18-May-21,Teen,http://www.octro.com/privacy-policy,TRUE,TRUE,FALSE,6/16/2021 4:18
Slotomania™ Slots: Casino Slot Machine Games,air.com.playtika.slotomania,Casino,4.4,1830022,"50,000,000+",50000000,63657463,TRUE,0,USD,Varies with device,4.1 and up,Playtika,https://www.slotomania.com/,android@playtika.com,26-Jan-12,15-Jun-21,Teen,https://www.playtika.com/privacy-policy,TRUE,TRUE,FALSE,6/15/2021 21:53
Huuuge Casino™ Free Slots & Best Slot Machines 777,com.huuuge.casino.slots,Casino,4.3,757182,"10,000,000+",10000000,37707763,TRUE,0,USD,101M,4.1 and up,Huuuge Games - Play Together,http://www.huuugegames.com/,support@huuugegames.com,19-Jun-15,11-May-21,Teen,http://www.huuugegames.com/privacy-policy/,TRUE,TRUE,FALSE,6/16/2021 3:23
Candy Crush Saga,com.king.candycrushsaga,Casual,4.6,31476637,"1,000,000,000+",1000000000,1208422684,TRUE,0,USD,Varies with device,4.4 and up,King,http://candycrushsaga.com/help/,candycrush.techhelp@king.com,15-Nov-12,4-Jun-21,Everyone,https://king.com/privacyPolicy,TRUE,TRUE,FALSE,6/16/2021 1:14
My Talking Tom,com.outfit7.mytalkingtomfree,Casual,4.3,16835698,"500,000,000+",500000000,919958421,TRUE,0,USD,114M,5.0 and up,Outfit7 Limited,http://outfit7.com/contact/android/,support@outfit7.com,11-Nov-13,2-Jun-21,Everyone,http://outfit7.com/privacy/,TRUE,TRUE,FALSE,6/16/2021 10:38
Pou,me.pou.app,Casual,4.3,11519309,"500,000,000+",500000000,798488171,TRUE,0,USD,22M,4.1 and up,Zakeh Limited,http://www.pou.me,pouhelp@gmail.com,5-Aug-12,4-Feb-21,Everyone,http://help.pou.me/privacy-policy.php,TRUE,TRUE,FALSE,6/16/2021 5:08
My Talking Angela,com.outfit7.mytalkingangelafree,Casual,4.2,13083889,"500,000,000+",500000000,699944379,TRUE,0,USD,115M,5.0 and up,Outfit7 Limited,http://outfit7.com/contact/android/,support@outfit7.com,3-Dec-14,25-May-21,Everyone,http://outfit7.com/privacy/,TRUE,TRUE,TRUE,6/16/2021 1:52
Minion Rush: Despicable Me Official Game,com.gameloft.android.ANMP.GloftDMHM,Casual,4.4,10664235,"100,000,000+",100000000,488234648,TRUE,0,USD,116M,5.0 and up,Gameloft SE,http://www.gameloft.com/,android.support@gameloft.com,13-Jun-13,1-Jun-21,Everyone 10+,http://www.gameloft.com/privacy-notice/,TRUE,TRUE,FALSE,6/16/2021 9:31
WEBTOON,com.naver.linewebtoon,Comics,4.6,1746185,"50,000,000+",50000000,85170436,TRUE,0,USD,23M,4.4 and up,WEBTOON ENTERTAINMENT,https://www.webtoons.com/,dl_linewebtoon@webtoonscorp.com,1-Jul-14,3-Jun-21,Teen,https://m.webtoons.com/en/terms#privacyPolicy,TRUE,TRUE,TRUE,6/16/2021 14:52
네이버 웹툰 - Naver Webtoon,com.nhn.android.webtoon,Comics,3.9,197768,"10,000,000+",10000000,33664301,TRUE,0,USD,Varies with device,Varies with device,NAVER WEBTOON,http://comic.naver.com/index.nhn,naver_market@naver.com,21-Dec-10,21-May-21,Teen,https://member.webtoon.naver.com/policies/privacy/,TRUE,FALSE,FALSE,6/16/2021 6:54
"MangaToon-Good comics, Great stories",mobi.mangatoon.comics.aphone,Comics,4.4,488830,"10,000,000+",10000000,25754944,TRUE,0,USD,Varies with device,4.4 and up,MangaToon,https://mangatoon.mobi,mangatoon.app@gmail.com,8-Jul-18,27-May-21,Teen,https://h5.mangatoon.mobi/privacy/index,TRUE,TRUE,FALSE,6/16/2021 11:25
Temple Princess Lost Oz Run,com.appmag.endless.temple.princessfinaljungleozrunfrozen,Comics,4.1,20947,"10,000,000+",10000000,16119024,TRUE,0,USD,60M,4.1 and up,App Mag,,info.appmag@gmail.com,2-Dec-18,6-Jun-20,Everyone 10+,https://appmag484255680.wordpress.com/2018/08/29/privacy-policy/,TRUE,FALSE,FALSE,6/16/2021 2:47
Draw Cartoons 2: Skeletal Animation Studio,com.zalivka.animation2,Comics,4.5,320001,"10,000,000+",10000000,13515595,TRUE,0,USD,81M,4.4 and up,Zalivka Mobile Cartoons,http://what.drawingcartoons.net,drawingcartoonsltd@gmail.com,13-Nov-15,20-May-21,Everyone 10+,https://docs.google.com/document/d/1mbVsod0gwqWF3v12EFeR3UQ00ZihuMCBiQ3uSa1mNdk/edit?usp=sharing,TRUE,TRUE,FALSE,6/15/2021 23:53
Google Chrome: Fast & Secure,com.android.chrome,Communication,4.1,31481796,"5,000,000,000+",5000000000,8925640788,TRUE,0,USD,Varies with device,Varies with device,Google LLC,http://www.google.com/chrome/android,apps-help@google.com,7-Feb-12,14-Jun-21,Everyone,http://www.google.com/chrome/intl/en/privacy.html,FALSE,FALSE,FALSE,6/16/2021 11:26
Gmail,com.google.android.gm,Communication,4.2,9488421,"5,000,000,000+",5000000000,8756574289,TRUE,0,USD,Varies with device,Varies with device,Google LLC,http://support.google.com/mail/bin/topic.py?hl=en&topic=2451697&parent=2451730&ctx=topic,apps-help@google.com,21-Sep-10,16-Jun-21,Everyone,http://www.google.com/policies/privacy,TRUE,FALSE,FALSE,6/16/2021 9:53
WhatsApp Messenger,com.whatsapp,Communication,4,138557570,"5,000,000,000+",5000000000,6265637751,TRUE,0,USD,Varies with device,Varies with device,WhatsApp LLC,http://www.whatsapp.com/,android@support.whatsapp.com,18-Oct-10,9-Jun-21,Everyone,http://www.whatsapp.com/legal/#Privacy,FALSE,FALSE,TRUE,6/16/2021 2:51
Messenger – Text and Video Chat for Free,com.facebook.orca,Communication,4,78563229,"5,000,000,000+",5000000000,5054312355,TRUE,0,USD,Varies with device,Varies with device,Facebook,https://www.facebook.com/games/fbmessenger_android/,android-support@fb.com,30-Jan-14,14-Jun-21,Everyone,https://m.facebook.com/policy.php,FALSE,TRUE,TRUE,6/16/2021 9:49
Hangouts,com.google.android.talk,Communication,4,5072462,"5,000,000,000+",5000000000,5019518222,TRUE,0,USD,Varies with device,Varies with device,Google LLC,https://support.google.com/hangouts/?p=androidhelp,apps-help@google.com,15-May-13,14-May-21,Everyone,http://www.google.com/policies/privacy,FALSE,FALSE,FALSE,6/16/2021 11:09
"Badoo — The Dating App to Chat, Date & Meet People",com.badoo.mobile,Dating,4,5503151,"100,000,000+",100000000,286283642,TRUE,0,USD,56M,5.0 and up,Badoo,http://www.badoo.com,android.support@badoo.com,17-Dec-10,14-Jun-21,Mature 17+,http://badoo.com/privacy/,TRUE,TRUE,FALSE,6/16/2021 6:18
Zoosk - Online Dating App to Meet New People,com.zoosk.zoosk,Dating,3.6,607672,"10,000,000+",10000000,37576471,TRUE,0,USD,Varies with device,Varies with device,Zoosk Inc.,https://www.zoosk.com,support@zoosk.com,8-Oct-10,11-Jun-21,Mature 17+,https://www.zoosk.com/privacy.php,TRUE,TRUE,FALSE,6/16/2021 1:54
OkCupid - The Online Dating App for Great Dates,com.okcupid.okcupid,Dating,3.8,465868,"10,000,000+",10000000,30823577,TRUE,0,USD,33M,6.0 and up,okcupid.com,http://www.okcupid.com/feedback,support@okcupid.com,18-Jun-10,14-Jun-21,Mature 17+,http://www.okcupid.com/legal/privacy,TRUE,TRUE,TRUE,6/16/2021 6:13
"Bumble – Dating, Make New Friends & Networking",com.bumble.app,Dating,3.2,244651,"10,000,000+",10000000,28290341,TRUE,0,USD,72M,5.0 and up,Bumble Holding Limited,http://bumble.com/,android.support@bumble.com,30-Nov-15,15-Jun-21,Mature 17+,https://bumble.com/privacy/,FALSE,TRUE,FALSE,6/16/2021 12:48
Chat & Date: Dating Made Simple to Meet New People,com.hotornot.app,Dating,3.9,349535,"10,000,000+",10000000,26392606,TRUE,0,USD,60M,5.0 and up,OR NOT LIMITED,http://hotornot.com,android.support@hotornot.com,22-May-13,14-Jun-21,Mature 17+,http://hotornot.com/privacy,TRUE,TRUE,FALSE,6/15/2021 22:33
Duolingo: Learn Languages Free,com.duolingo,Education,4.6,11103561,"100,000,000+",100000000,261431130,TRUE,0,USD,Varies with device,Varies with device,Duolingo,https://www.duolingo.com/,android@duolingo.com,29-May-13,14-Jun-21,Everyone,https://www.duolingo.com/privacy,TRUE,TRUE,TRUE,6/16/2021 13:07
Google Classroom,com.google.android.apps.classroom,Education,2.6,1590010,"100,000,000+",100000000,212017279,TRUE,0,USD,Varies with device,Varies with device,Google LLC,https://classroom.google.com/,apps-help@google.com,14-Jan-15,14-Jun-21,Everyone,http://www.google.com/policies/privacy,FALSE,FALSE,FALSE,6/15/2021 22:19
Samsung Global Goals,com.samsung.sree,Education,4.5,84008,"100,000,000+",100000000,192681575,TRUE,0,USD,24M,,"Samsung Electronics Co.,  Ltd.",http://www.samsungglobalgoals.com,noreply.sec@samsung.com,19-Aug-19,30-Mar-21,Everyone,http://www.samsungglobalgoals.com/pp,TRUE,FALSE,FALSE,6/16/2021 3:56
Photomath,com.microblink.photomath,Education,4.7,2221551,"100,000,000+",100000000,147356790,TRUE,0,USD,Varies with device,Varies with device,"Photomath, Inc.",https://photomath.com,support@photomath.com,26-Feb-15,9-Jun-21,Everyone,https://photomath.net/privacypolicy,FALSE,TRUE,FALSE,6/16/2021 7:34
U-Dictionary: Oxford Dictionary Free Now Translate,com.youdao.hindict,Education,4.5,901835,"100,000,000+",100000000,125828709,TRUE,0,USD,21M,5.0 and up,Talent Education Inc,http://www.u-dictionary.com/home/,udictionary01@gmail.com,20-Mar-16,31-May-21,Everyone 10+,http://shared.youdao.com/dict/market/youdaoInfos/index.html,TRUE,TRUE,FALSE,6/15/2021 23:18
